Category,Package,Type,Severity/Prob,Status,File Path,Line,AI Summary,Rule Key
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,30,"Nguyên nhân: Mã nguồn hoặc cấu hình chưa đáp ứng yêu cầu an toàn của rule được phát hiện.
Cách khắc phục: Kiểm tra file và dòng trong báo cáo, cập nhật cấu hình hoặc phiên bản thư viện an toàn trở lên.",external_betterleaks (MegaLinter REPOSITORY_BETTERLEAKS):github-pat
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,30,"Nguyên nhân: Tìm thấy token GitHub trong file cấu hình, gây rủi ro bảo mật.
Cách khắc phục: Xóa token GitHub khỏi file .github/workflows/deploy.yml.",external_secretlint (MegaLinter REPOSITORY_SECRETLINT):@secretlint/secretlint-rule-preset-recommend > @secretlint/secretlint-rule-github
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,33,"Nguyên nhân: Mã nguồn hoặc cấu hình chưa đáp ứng yêu cầu an toàn của rule được phát hiện.
Cách khắc phục: Kiểm tra file và dòng trong báo cáo, cập nhật cấu hình hoặc phiên bản thư viện an toàn trở lên.",external_betterleaks (MegaLinter REPOSITORY_BETTERLEAKS):github-pat
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,42,"Nguyên nhân: Token truy cập cá nhân GitHub bị lộ trong file cấu hình.
Cách khắc phục: Xóa token khỏi .github/workflows/deploy.yml và sử dụng biến môi trường để bảo mật.",external_kingfisher (MegaLinter REPOSITORY_KINGFISHER):GitHub Personal Access Token
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,42,"Nguyên nhân: Mã nguồn hoặc cấu hình chưa đáp ứng yêu cầu an toàn của rule được phát hiện.
Cách khắc phục: Kiểm tra file và dòng trong báo cáo, cập nhật cấu hình hoặc phiên bản thư viện an toàn trở lên.",external_betterleaks (MegaLinter REPOSITORY_BETTERLEAKS):github-pat
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,91,"Nguyên nhân: Mã nguồn hoặc cấu hình chưa đáp ứng yêu cầu an toàn của rule được phát hiện.
Cách khắc phục: Kiểm tra file và dòng trong báo cáo, cập nhật cấu hình hoặc phiên bản thư viện an toàn trở lên.",external_betterleaks (MegaLinter REPOSITORY_BETTERLEAKS):github-pat
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,33,"Nguyên nhân: Tìm thấy token GitHub trong file cấu hình, gây rủi ro bảo mật.
Cách khắc phục: Xóa token GitHub khỏi file .github/workflows/deploy.yml.",external_secretlint (MegaLinter REPOSITORY_SECRETLINT):@secretlint/secretlint-rule-preset-recommend > @secretlint/secretlint-rule-github
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,42,"Nguyên nhân: Tìm thấy token GitHub trong file cấu hình, gây rủi ro bảo mật.
Cách khắc phục: Xóa token GitHub khỏi file .github/workflows/deploy.yml.",external_secretlint (MegaLinter REPOSITORY_SECRETLINT):@secretlint/secretlint-rule-preset-recommend > @secretlint/secretlint-rule-github
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,94,"Nguyên nhân: Mã nguồn hoặc cấu hình chưa đáp ứng yêu cầu an toàn của rule được phát hiện.
Cách khắc phục: Kiểm tra file và dòng trong báo cáo, cập nhật cấu hình hoặc phiên bản thư viện an toàn trở lên.",external_betterleaks (MegaLinter REPOSITORY_BETTERLEAKS):github-pat
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,91,"Nguyên nhân: Tìm thấy token GitHub trong file cấu hình, gây rủi ro bảo mật.
Cách khắc phục: Xóa token GitHub khỏi file .github/workflows/deploy.yml.",external_secretlint (MegaLinter REPOSITORY_SECRETLINT):@secretlint/secretlint-rule-preset-recommend > @secretlint/secretlint-rule-github
Mã nguồn & Cấu hình,,SECURITY,HIGH,OPEN,.github/workflows/deploy.yml,1,"Nguyên nhân: Quyền truy cập cấp cao được thiết lập cho phép ghi tất cả.
Cách khắc phục: Thay đổi quyền truy cập trong .github/workflows/deploy.yml để không cho phép ghi tất cả.",external_Checkov (MegaLinter REPOSITORY_CHECKOV):CKV2_GHA_1
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,94,"Nguyên nhân: Tìm thấy token GitHub trong file cấu hình, gây rủi ro bảo mật.
Cách khắc phục: Xóa token GitHub khỏi file .github/workflows/deploy.yml.",external_secretlint (MegaLinter REPOSITORY_SECRETLINT):@secretlint/secretlint-rule-preset-recommend > @secretlint/secretlint-rule-github
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,103,"Nguyên nhân: Tìm thấy token GitHub trong file cấu hình, gây rủi ro bảo mật.
Cách khắc phục: Xóa token GitHub khỏi file .github/workflows/deploy.yml.",external_secretlint (MegaLinter REPOSITORY_SECRETLINT):@secretlint/secretlint-rule-preset-recommend > @secretlint/secretlint-rule-github
Mã nguồn & Cấu hình,,SECURITY,BLOCKER,OPEN,.github/workflows/deploy.yml,103,"Nguyên nhân: Mã nguồn hoặc cấu hình chưa đáp ứng yêu cầu an toàn của rule được phát hiện.
Cách khắc phục: Kiểm tra file và dòng trong báo cáo, cập nhật cấu hình hoặc phiên bản thư viện an toàn trở lên.",external_betterleaks (MegaLinter REPOSITORY_BETTERLEAKS):github-pat
